Transaction ID,Date,Description,Category,Sub-Category,Account,Type,Amount,Counterparty,Notes,Flag
TXN-00263,2025-01-07,Sales & Service Tax - Jan 2025,Tax,SST Payment,CIMB,Outflow,4168.50,Lembaga Hasil Dalam Negeri (LHDN),,
TXN-00309,2025-01-07,Client payment - invoice PO-6185,Revenue,Client Payment,RHB Bank,Inflow,30013.00,Gamuda Berhad,,
TXN-00318,2025-01-07,Client payment - invoice SO-1753,Revenue,Client Payment,CIMB,Inflow,22378.00,YTL Corporation Berhad,,
TXN-00408,2025-01-07,Electricity & water bill - Jan 2025,Operating Expenses,Utilities,RHB Bank,Outflow,810.50,Tenaga Nasional Berhad (TNB),Approved by CFO,
TXN-00517,2025-01-07,Materials purchase - PO INV-5078,Cost of Goods,Materials & Supplies,CIMB,Outflow,24143.00,Cahya Mata Sarawak Berhad,,
TXN-00634,2025-01-07,Sales & Service Tax - Jan 2025,Tax,SST Payment,Maybank,Outflow,2196.50,Lembaga Hasil Dalam Negeri (LHDN),Recurring monthly,
TXN-00637,2025-01-07,Subcontractor payment - ERP Implementation,Cost of Goods,Subcontractor,RHB Bank,Outflow,24965.00,Protasco Berhad,Urgent payment,
TXN-00674,2025-01-07,SOCSO and EIS contribution - Jan 2025,Payroll,SOCSO & EIS,CIMB,Outflow,551.50,PERKESO,,
TXN-00071,2025-01-09,Staff salary - Jan 2025,Payroll,Salary,Hong Leong Bank,Outflow,26755.00,Payroll - Internal,Revised amount per credit note,
TXN-00122,2025-01-09,SOCSO and EIS contribution - Jan 2025,Payroll,SOCSO & EIS,Maybank,Outflow,589.00,PERKESO,Direct debit,
TXN-00166,2025-01-09,Office rental - Jan 2025,Operating Expenses,Office Rent,Hong Leong Bank,Outflow,5440.50,IGB Real Estate Investment Trust,Partial payment - balance next month,
TXN-00203,2025-01-09,Staff salary - Jan 2025,Payroll,Salary,Hong Leong Bank,Outflow,28588.00,Payroll - Internal,,
TXN-00154,2025-01-10,Staff salary - Jan 2025,Payroll,Salary,RHB Bank,Outflow,22080.00,Payroll - Internal,,
TXN-00164,2025-01-10,Income tax instalment CP500 - Jan 2025,Tax,Income Tax Instalment,Maybank,Outflow,8041.50,Lembaga Hasil Dalam Negeri (LHDN),Approved by CFO,
TXN-00744,2025-01-10,Client payment - invoice SO-9178,Revenue,Client Payment,Hong Leong Bank,Inflow,64270.50,Axiata Group Berhad,Recurring monthly,Large Transaction
TXN-00056,2025-01-11,Software licence - Microsoft 365 annual renewal,CAPEX,Software & Licences,RHB Bank,Outflow,10356.00,SAP Malaysia,Partial payment - balance next month,
TXN-00001,2025-01-13,Electricity & water bill - Jan 2025,Operating Expenses,Utilities,Maybank,Outflow,771.50,Tenaga Nasional Berhad (TNB),,
TXN-00560,2025-01-16,Sales & Service Tax - Jan 2025,Tax,SST Payment,CIMB,Outflow,2136.00,Lembaga Hasil Dalam Negeri (LHDN),Partial payment - balance next month,
TXN-00530,2025-01-17,Client payment - invoice SO-2753,Revenue,Client Payment,Maybank,Inflow,38901.00,Telekom Malaysia Berhad,Partial payment - balance next month,
TXN-00568,2025-01-17,Client payment - invoice OR-1245,Revenue,Client Payment,CIMB,Inflow,49117.00,IHH Healthcare Berhad,,
TXN-00731,2025-01-17,EPF employer contribution - Jan 2025,Payroll,EPF Contribution,RHB Bank,Outflow,3438.50,Kumpulan Wang Simpanan Pekerja (KWSP),,
TXN-00638,2025-01-18,Project milestone payment - Office Renovation Phase 1,Revenue,Project Payment,Maybank,Inflow,72535.00,IJM Corporation Berhad,,Large Transaction
TXN-00100,2025-01-19,Sales & Service Tax - Jan 2025,Tax,SST Payment,CIMB,Outflow,5053.00,Lembaga Hasil Dalam Negeri (LHDN),Partial payment - balance next month,
TXN-00583,2025-01-19,Monthly retainer - Jan 2025,Revenue,Retainer Fee,Maybank,Inflow,8299.00,Hong Leong Financial Group,Recurring monthly,
TXN-00597,2025-01-20,Client payment - invoice SO-2517,Revenue,Client Payment,RHB Bank,Inflow,60655.00,Petronas Dagangan Sdn Bhd,,Large Transaction
TXN-00623,2025-01-20,Monthly retainer - Jan 2025,Revenue,Retainer Fee,Maybank,Inflow,4858.00,Hong Leong Financial Group,Recurring monthly,
TXN-00660,2025-01-20,Office rental - Jan 2025,Operating Expenses,Office Rent,Hong Leong Bank,Outflow,5635.00,CapitaLand Malaysia Mall Trust,,
TXN-00139,2025-01-22,Client payment - invoice OR-1307,Revenue,Client Payment,Hong Leong Bank,Inflow,39129.00,Telekom Malaysia Berhad,One-off purchase,
TXN-00148,2025-01-22,Term loan repayment - Jan 2025,Loan Repayment,Bank Loan,CIMB,Outflow,10537.50,CIMB Business Loan,Direct debit,
TXN-00171,2025-01-22,Materials purchase - PO PO-6080,Cost of Goods,Materials & Supplies,Hong Leong Bank,Outflow,6878.00,Cahya Mata Sarawak Berhad,Approved by CFO,
TXN-00455,2025-01-22,Monthly retainer - Jan 2025,Revenue,Retainer Fee,RHB Bank,Inflow,9408.50,Hong Leong Financial Group,,
TXN-00571,2025-01-22,Staff salary - Jan 2025,Payroll,Salary,RHB Bank,Outflow,25106.00,Payroll - Internal,,
TXN-00034,2025-01-23,Subcontractor payment - IT Infrastructure Upgrade,Cost of Goods,Subcontractor,CIMB,Outflow,37868.50,Mudajaya Group Berhad,Recurring monthly,
TXN-00416,2025-01-24,Internet & phone - Jan 2025,Operating Expenses,Telecommunications,RHB Bank,Outflow,407.50,TIME dotCom,One-off purchase,
TXN-00165,2025-01-25,Monthly retainer - Jan 2025,Revenue,Retainer Fee,RHB Bank,Inflow,4235.50,Alliance Bank Malaysia,Direct debit,
TXN-00172,2025-01-25,Project milestone payment - Office Renovation Phase 1,Revenue,Project Payment,RHB Bank,Inflow,90796.00,UEM Sunrise Berhad,Direct debit,Large Transaction
TXN-00236,2025-01-25,SOCSO and EIS contribution - Jan 2025,Payroll,SOCSO & EIS,RHB Bank,Outflow,406.00,PERKESO,Partial payment - balance next month,
TXN-00419,2025-01-25,EPF employer contribution - Jan 2025,Payroll,EPF Contribution,CIMB,Outflow,3914.00,Kumpulan Wang Simpanan Pekerja (KWSP),,
TXN-00427,2025-01-25,Internet & phone - Jan 2025,Operating Expenses,Telecommunications,Hong Leong Bank,Outflow,807.00,TIME dotCom,,
TXN-00496,2025-01-25,Subcontractor payment - Website Redevelopment,Cost of Goods,Subcontractor,CIMB,Outflow,41227.50,WCT Holdings Berhad,Direct debit,
TXN-00107,2025-01-26,Sales & Service Tax - Jan 2025,Tax,SST Payment,CIMB,Outflow,4469.50,Lembaga Hasil Dalam Negeri (LHDN),One-off purchase,
TXN-00212,2025-01-26,Project milestone payment - Office Renovation Phase 1,Revenue,Project Payment,Hong Leong Bank,Inflow,73295.50,Malaysian Resources Corporation Berhad,,Large Transaction
TXN-00356,2025-01-26,Project milestone payment - IT Infrastructure Upgrade,Revenue,Project Payment,Maybank,Inflow,53536.00,UEM Sunrise Berhad,Urgent payment,Large Transaction
TXN-00130,2025-01-27,Sales & Service Tax - Jan 2025,Tax,SST Payment,CIMB,Outflow,4568.50,Lembaga Hasil Dalam Negeri (LHDN),Approved by CFO,
TXN-00151,2025-01-27,Internet & phone - Jan 2025,Operating Expenses,Telecommunications,RHB Bank,Outflow,475.00,TIME dotCom,One-off purchase,
TXN-00022,2025-01-28,Staff salary - Jan 2025,Payroll,Salary,Maybank,Outflow,22643.00,Payroll - Internal,Approved by CFO,
TXN-00226,2025-01-29,Staff salary - Jan 2025,Payroll,Salary,Maybank,Outflow,25552.50,Payroll - Internal,Urgent payment,
TXN-00234,2025-01-29,Professional services - UPS battery replacement,Operating Expenses,Professional Services,Hong Leong Bank,Outflow,5377.50,Skrine Advocates & Solicitors,Revised amount per credit note,
TXN-00341,2025-01-29,Project milestone payment - Digital Transformation Initiative,Revenue,Project Payment,CIMB,Inflow,42971.50,IJM Corporation Berhad,Revised amount per credit note,
TXN-00593,2025-01-29,Equipment purchase - AutoCAD licence,CAPEX,Equipment Purchase,CIMB,Outflow,12490.50,Hewlett-Packard Malaysia,Revised amount per credit note,
TXN-00651,2025-01-29,Client payment - invoice PO-1701,Revenue,Client Payment,RHB Bank,Inflow,64641.00,IHH Healthcare Berhad,Recurring monthly,Large Transaction
TXN-00228,2025-01-31,EPF employer contribution - Jan 2025,Payroll,EPF Contribution,CIMB,Outflow,3994.50,Kumpulan Wang Simpanan Pekerja (KWSP),Partial payment - balance next month,
TXN-00641,2025-02-01,Project milestone payment - Digital Transformation Initiative,Revenue,Project Payment,Hong Leong Bank,Inflow,39259.00,UEM Sunrise Berhad,,
TXN-00503,2025-02-02,Client payment - invoice OR-9985,Revenue,Client Payment,Maybank,Inflow,18243.00,YTL Corporation Berhad,One-off purchase,
TXN-00009,2025-02-03,Consulting fee - digital strategy review,Revenue,Consulting Fee,RHB Bank,Inflow,22045.00,PwC Malaysia,Direct debit,
TXN-00372,2025-02-03,Materials purchase - PO PO-9303,Cost of Goods,Materials & Supplies,CIMB,Outflow,11897.50,Nippon Paint Malaysia,Approved by CFO,
TXN-00590,2025-02-04,Project milestone payment - ERP Implementation,Revenue,Project Payment,Maybank,Inflow,34404.00,UEM Sunrise Berhad,Revised amount per credit note,
TXN-00020,2025-02-06,Subcontractor payment - Website Redevelopment,Cost of Goods,Subcontractor,CIMB,Outflow,37117.00,WCT Holdings Berhad,One-off purchase,
TXN-00083,2025-02-06,Subcontractor payment - Digital Transformation Initiative,Cost of Goods,Subcontractor,Hong Leong Bank,Outflow,27418.50,Protasco Berhad,Direct debit,
TXN-00260,2025-02-07,Materials purchase - PO INV-5390,Cost of Goods,Materials & Supplies,RHB Bank,Outflow,14410.50,CSC Steel Holdings Berhad,,
TXN-00271,2025-02-07,Materials purchase - PO OR-8851,Cost of Goods,Materials & Supplies,Maybank,Outflow,25838.50,Cahya Mata Sarawak Berhad,Revised amount per credit note,
TXN-00310,2025-02-07,Professional services - surveillance camera system,Operating Expenses,Professional Services,Maybank,Outflow,8021.00,Messrs Ranjit Singh & Yeoh,Partial payment - balance next month,
TXN-00334,2025-02-08,Equipment purchase - process improvement workshop,CAPEX,Equipment Purchase,CIMB,Outflow,5820.50,Brother International Malaysia,Revised amount per credit note,
TXN-00179,2025-02-09,Consulting fee - Adobe Creative Cloud,Revenue,Consulting Fee,Hong Leong Bank,Inflow,9662.00,Ernst & Young Malaysia,,
TXN-00188,2025-02-10,Income tax instalment CP500 - Feb 2025,Tax,Income Tax Instalment,CIMB,Outflow,6876.50,Lembaga Hasil Dalam Negeri (LHDN),One-off purchase,
TXN-00532,2025-02-10,Electricity & water bill - Feb 2025,Operating Expenses,Utilities,Hong Leong Bank,Outflow,896.50,Syabas Puncak Niaga,,
TXN-00450,2025-02-11,Electricity & water bill - Feb 2025,Operating Expenses,Utilities,Maybank,Outflow,850.50,Syabas Puncak Niaga,,
TXN-00174,2025-02-12,Project milestone payment - Warehouse Expansion,Revenue,Project Payment,Hong Leong Bank,Inflow,47622.00,IJM Corporation Berhad,,
TXN-00070,2025-02-13,Software licence - AutoCAD licence,CAPEX,Software & Licences,RHB Bank,Outflow,7781.00,Adobe Systems Malaysia,Direct debit,
TXN-00078,2025-02-13,Software licence - HR audit and benchmarking,CAPEX,Software & Licences,CIMB,Outflow,9254.50,Oracle Malaysia,Partial payment - balance next month,
TXN-00326,2025-02-13,Staff salary - Feb 2025,Payroll,Salary,Maybank,Outflow,25914.00,Payroll - Internal,,
TXN-00576,2025-02-13,Electricity & water bill - Feb 2025,Operating Expenses,Utilities,RHB Bank,Outflow,492.00,Syabas Puncak Niaga,,
TXN-00631,2025-02-13,Monthly retainer - Feb 2025,Revenue,Retainer Fee,RHB Bank,Inflow,5404.50,Hong Leong Financial Group,Direct debit,
TXN-00330,2025-02-16,Subcontractor payment - Website Redevelopment,Cost of Goods,Subcontractor,Maybank,Outflow,21207.00,Protasco Berhad,Revised amount per credit note,
TXN-00239,2025-02-17,Subcontractor payment - Digital Transformation Initiative,Cost of Goods,Subcontractor,Maybank,Outflow,44533.50,Protasco Berhad,Approved by CFO,
TXN-00354,2025-02-17,EPF employer contribution - Feb 2025,Payroll,EPF Contribution,CIMB,Outflow,3689.50,Kumpulan Wang Simpanan Pekerja (KWSP),Partial payment - balance next month,
TXN-00485,2025-02-17,Project milestone payment - Office Renovation Phase 1,Revenue,Project Payment,RHB Bank,Inflow,47232.00,IJM Corporation Berhad,Approved by CFO,
TXN-00606,2025-02-17,SOCSO and EIS contribution - Feb 2025,Payroll,SOCSO & EIS,RHB Bank,Outflow,432.00,PERKESO,Approved by CFO,
TXN-00219,2025-02-18,Consulting fee - Microsoft 365 annual renewal,Revenue,Consulting Fee,Maybank,Inflow,9832.00,Deloitte Malaysia,Approved by CFO,
TXN-00518,2025-02-18,Client payment - invoice SO-8746,Revenue,Client Payment,Hong Leong Bank,Inflow,21360.00,Hartalega Holdings Berhad,,
TXN-00542,2025-02-18,Materials purchase - PO PO-1612,Cost of Goods,Materials & Supplies,Maybank,Outflow,25484.00,Cahya Mata Sarawak Berhad,Revised amount per credit note,
TXN-00497,2025-02-19,Subcontractor payment - Digital Transformation Initiative,Cost of Goods,Subcontractor,Hong Leong Bank,Outflow,24766.50,Mudajaya Group Berhad,Partial payment - balance next month,
TXN-00654,2025-02-19,Income tax instalment CP500 - Feb 2025,Tax,Income Tax Instalment,Maybank,Outflow,6067.00,Lembaga Hasil Dalam Negeri (LHDN),One-off purchase,
TXN-00557,2025-02-20,Term loan repayment - Feb 2025,Loan Repayment,Bank Loan,CIMB,Outflow,5576.00,Maybank Business Banking,Direct debit,
TXN-00739,2025-02-20,Monthly retainer - Feb 2025,Revenue,Retainer Fee,Hong Leong Bank,Inflow,6658.00,AmBank Group,Revised amount per credit note,
TXN-00355,2025-02-21,Client payment - invoice PO-4367,Revenue,Client Payment,Hong Leong Bank,Inflow,43443.50,MISC Berhad,Urgent payment,
TXN-00494,2025-02-21,Internet & phone - Feb 2025,Operating Expenses,Telecommunications,CIMB,Outflow,425.50,Maxis Business,,
TXN-00160,2025-02-22,EPF employer contribution - Feb 2025,Payroll,EPF Contribution,Hong Leong Bank,Outflow,3448.00,Kumpulan Wang Simpanan Pekerja (KWSP),Recurring monthly,
TXN-00303,2025-02-22,Client payment - invoice INV-6133,Revenue,Client Payment,CIMB,Inflow,30699.50,Hartalega Holdings Berhad,,
TXN-00392,2025-02-22,Monthly retainer - Feb 2025,Revenue,Retainer Fee,Maybank,Inflow,8839.50,AmBank Group,Urgent payment,
TXN-00514,2025-02-22,Client payment - invoice PO-5410,Revenue,Client Payment,Maybank,Inflow,24821.00,Axiata Group Berhad,,
TXN-00725,2025-02-22,Internet & phone - Feb 2025,Operating Expenses,Telecommunications,CIMB,Outflow,580.50,Maxis Business,Partial payment - balance next month,
TXN-00351,2025-02-25,Project milestone payment - Warehouse Expansion,Revenue,Project Payment,CIMB,Inflow,90151.00,Malaysian Resources Corporation Berhad,Direct debit,Large Transaction
TXN-00669,2025-02-26,Project milestone payment - Warehouse Expansion,Revenue,Project Payment,CIMB,Inflow,90392.00,UEM Sunrise Berhad,One-off purchase,Large Transaction
TXN-00721,2025-02-26,Client payment - invoice SO-9123,Revenue,Client Payment,Maybank,Inflow,16781.00,Hartalega Holdings Berhad,Direct debit,
TXN-00232,2025-02-27,Project milestone payment - ERP Implementation,Revenue,Project Payment,CIMB,Inflow,41108.00,Sunway Group,,
TXN-00608,2025-02-27,Client payment - invoice PO-8842,Revenue,Client Payment,Hong Leong Bank,Inflow,49772.00,Sime Darby Property Berhad,One-off purchase,
TXN-00282,2025-02-28,Consulting fee - antivirus - annual,Revenue,Consulting Fee,Hong Leong Bank,Inflow,23319.50,Deloitte Malaysia,One-off purchase,
TXN-00415,2025-02-28,Office supplies purchase,Operating Expenses,Office Supplies,Hong Leong Bank,Outflow,740.50,Jaya Grocer,Revised amount per credit note,
TXN-00737,2025-02-28,Sales & Service Tax - Feb 2025,Tax,SST Payment,Maybank,Outflow,3700.00,Lembaga Hasil Dalam Negeri (LHDN),Partial payment - balance next month,
TXN-00358,2025-03-01,Staff salary - Mar 2025,Payroll,Salary,Maybank,Outflow,26488.00,Payroll - Internal,Partial payment - balance next month,
TXN-00694,2025-03-01,Internet & phone - Mar 2025,Operating Expenses,Telecommunications,RHB Bank,Outflow,497.50,Telekom Malaysia (TM),Revised amount per credit note,
TXN-00092,2025-03-02,Staff salary - Mar 2025,Payroll,Salary,RHB Bank,Outflow,29217.50,Payroll - Internal,Direct debit,
TXN-00221,2025-03-02,Client payment - invoice OR-6026,Revenue,Client Payment,Hong Leong Bank,Inflow,45079.00,MISC Berhad,Urgent payment,
TXN-00290,2025-03-02,Staff salary - Mar 2025,Payroll,Salary,RHB Bank,Outflow,21793.50,Payroll - Internal,,
TXN-00467,2025-03-02,Staff salary - Mar 2025,Payroll,Salary,RHB Bank,Outflow,25167.00,Payroll - Internal,Revised amount per credit note,
TXN-00564,2025-03-02,EPF employer contribution - Mar 2025,Payroll,EPF Contribution,Hong Leong Bank,Outflow,4276.00,Kumpulan Wang Simpanan Pekerja (KWSP),Partial payment - balance next month,
TXN-00713,2025-03-02,Office supplies purchase,Operating Expenses,Office Supplies,Hong Leong Bank,Outflow,412.00,MPH Bookstores,,
TXN-00320,2025-03-03,SOCSO and EIS contribution - Mar 2025,Payroll,SOCSO & EIS,RHB Bank,Outflow,372.00,PERKESO,Direct debit,
TXN-00417,2025-03-03,Client payment - invoice OR-4532,Revenue,Client Payment,Hong Leong Bank,Inflow,18485.50,IHH Healthcare Berhad,Partial payment - balance next month,
TXN-00682,2025-03-04,EPF employer contribution - Mar 2025,Payroll,EPF Contribution,RHB Bank,Outflow,3712.00,Kumpulan Wang Simpanan Pekerja (KWSP),,
TXN-00395,2025-03-05,Staff salary - Mar 2025,Payroll,Salary,Maybank,Outflow,25936.50,Payroll - Internal,,
TXN-00716,2025-03-05,Professional services - digital strategy review,Operating Expenses,Professional Services,Maybank,Outflow,2902.50,Lee Hishammuddin Allen & Gledhill,Urgent payment,
TXN-00075,2025-03-06,Internet & phone - Mar 2025,Operating Expenses,Telecommunications,CIMB,Outflow,598.00,Maxis Business,Direct debit,
TXN-00502,2025-03-06,Subcontractor payment - Website Redevelopment,Cost of Goods,Subcontractor,Maybank,Outflow,21069.50,Protasco Berhad,Partial payment - balance next month,
TXN-00523,2025-03-06,Materials purchase - PO OR-4812,Cost of Goods,Materials & Supplies,RHB Bank,Outflow,24010.00,Ann Joo Resources Berhad,,
TXN-00327,2025-03-08,Staff salary - Mar 2025,Payroll,Salary,RHB Bank,Outflow,27219.00,Payroll - Internal,Revised amount per credit note,
TXN-00587,2025-03-08,Monthly retainer - Mar 2025,Revenue,Retainer Fee,RHB Bank,Inflow,8700.50,Hong Leong Financial Group,One-off purchase,
TXN-00109,2025-03-09,SOCSO and EIS contribution - Mar 2025,Payroll,SOCSO & EIS,CIMB,Outflow,422.50,PERKESO,Recurring monthly,
TXN-00293,2025-03-09,Internet & phone - Mar 2025,Operating Expenses,Telecommunications,RHB Bank,Outflow,541.50,Telekom Malaysia (TM),One-off purchase,
TXN-00283,2025-03-10,Client payment - invoice PO-2931,Revenue,Client Payment,CIMB,Inflow,30325.00,Telekom Malaysia Berhad,,
TXN-00469,2025-03-10,Client payment - invoice PO-8817,Revenue,Client Payment,Hong Leong Bank,Inflow,40229.00,Telekom Malaysia Berhad,Recurring monthly,
TXN-00266,2025-03-11,Staff salary - Mar 2025,Payroll,Salary,Hong Leong Bank,Outflow,24358.50,Payroll - Internal,Partial payment - balance next month,
TXN-00011,2025-03-12,Monthly retainer - Mar 2025,Revenue,Retainer Fee,CIMB,Inflow,7404.00,Kenanga Investment Bank,Partial payment - balance next month,
TXN-00163,2025-03-12,Materials purchase - PO INV-5700,Cost of Goods,Materials & Supplies,RHB Bank,Outflow,17013.00,CSC Steel Holdings Berhad,,
TXN-00213,2025-03-12,Internet & phone - Mar 2025,Operating Expenses,Telecommunications,RHB Bank,Outflow,603.00,Maxis Business,Urgent payment,
TXN-00540,2025-03-12,Monthly retainer - Mar 2025,Revenue,Retainer Fee,Hong Leong Bank,Inflow,8727.00,AmBank Group,,
TXN-00010,2025-03-13,Client payment - invoice SO-9830,Revenue,Client Payment,RHB Bank,Inflow,59942.00,Gamuda Berhad,Partial payment - balance next month,Large Transaction
TXN-00023,2025-03-13,EPF employer contribution - Mar 2025,Payroll,EPF Contribution,Maybank,Outflow,3439.00,Kumpulan Wang Simpanan Pekerja (KWSP),Recurring monthly,
TXN-00614,2025-03-13,Client payment - invoice INV-3403,Revenue,Client Payment,Hong Leong Bank,Inflow,30990.50,Axiata Group Berhad,One-off purchase,
TXN-00325,2025-03-14,Term loan repayment - Mar 2025,Loan Repayment,Bank Loan,RHB Bank,Outflow,8110.50,Maybank Business Banking,Revised amount per credit note,
TXN-00349,2025-03-14,Software licence - Microsoft 365 annual renewal,CAPEX,Software & Licences,CIMB,Outflow,7682.50,SAP Malaysia,,
TXN-00573,2025-03-14,Internet & phone - Mar 2025,Operating Expenses,Telecommunications,Maybank,Outflow,439.50,TIME dotCom,One-off purchase,
TXN-00133,2025-03-15,Client payment - invoice OR-2140,Revenue,Client Payment,Maybank,Inflow,48382.00,Petronas Dagangan Sdn Bhd,Approved by CFO,
TXN-00235,2025-03-15,Project milestone payment - Digital Transformation Initiative,Revenue,Project Payment,CIMB,Inflow,66275.00,Sunway Group,Partial payment - balance next month,Large Transaction
TXN-00620,2025-03-15,Electricity & water bill - Mar 2025,Operating Expenses,Utilities,RHB Bank,Outflow,949.50,Tenaga Nasional Berhad (TNB),One-off purchase,
TXN-00210,2025-03-16,Materials purchase - PO PO-1689,Cost of Goods,Materials & Supplies,Hong Leong Bank,Outflow,31466.50,Nippon Paint Malaysia,Urgent payment,
TXN-00475,2025-03-16,Materials purchase - PO OR-8133,Cost of Goods,Materials & Supplies,CIMB,Outflow,15445.50,Ann Joo Resources Berhad,One-off purchase,
TXN-00516,2025-03-16,Monthly retainer - Mar 2025,Revenue,Retainer Fee,RHB Bank,Inflow,5100.50,Alliance Bank Malaysia,Urgent payment,
TXN-00706,2025-03-16,SOCSO and EIS contribution - Mar 2025,Payroll,SOCSO & EIS,CIMB,Outflow,363.00,PERKESO,Revised amount per credit note,
TXN-00036,2025-03-17,SOCSO and EIS contribution - Mar 2025,Payroll,SOCSO & EIS,Maybank,Outflow,667.00,PERKESO,Approved by CFO,
TXN-00125,2025-03-17,Monthly retainer - Mar 2025,Revenue,Retainer Fee,Hong Leong Bank,Inflow,6075.00,Alliance Bank Malaysia,One-off purchase,
TXN-00345,2025-03-17,Client payment - invoice SO-2817,Revenue,Client Payment,Maybank,Inflow,30336.50,Maxis Berhad,Partial payment - balance next month,
TXN-00462,2025-03-17,Income tax instalment CP500 - Mar 2025,Tax,Income Tax Instalment,RHB Bank,Outflow,6704.00,Lembaga Hasil Dalam Negeri (LHDN),One-off purchase,
TXN-00546,2025-03-17,Materials purchase - PO SO-6507,Cost of Goods,Materials & Supplies,RHB Bank,Outflow,13384.00,Nippon Paint Malaysia,Partial payment - balance next month,
TXN-00401,2025-03-18,Electricity & water bill - Mar 2025,Operating Expenses,Utilities,Hong Leong Bank,Outflow,801.00,Tenaga Nasional Berhad (TNB),Direct debit,
TXN-00452,2025-03-18,Staff salary - Mar 2025,Payroll,Salary,CIMB,Outflow,24593.50,Payroll - Internal,Recurring monthly,
TXN-00466,2025-03-18,Internet & phone - Mar 2025,Operating Expenses,Telecommunications,Maybank,Outflow,724.50,TIME dotCom,Recurring monthly,
TXN-00305,2025-03-19,Office rental - Mar 2025,Operating Expenses,Office Rent,CIMB,Outflow,6543.00,IGB Real Estate Investment Trust,One-off purchase,
TXN-00387,2025-03-19,Client payment - invoice SO-4281,Revenue,Client Payment,RHB Bank,Inflow,20546.50,Gamuda Berhad,,
TXN-00128,2025-03-20,Consulting fee - ISO 9001 gap assessment,Revenue,Consulting Fee,Maybank,Inflow,12342.50,KPMG Malaysia,Revised amount per credit note,
TXN-00508,2025-03-21,Consulting fee - AutoCAD licence,Revenue,Consulting Fee,Hong Leong Bank,Inflow,10212.50,Deloitte Malaysia,Recurring monthly,
TXN-00658,2025-03-22,Consulting fee - laptop units (x5),Revenue,Consulting Fee,CIMB,Inflow,23633.00,KPMG Malaysia,One-off purchase,
TXN-00406,2025-03-23,Vehicle hire purchase - Mar 2025,Loan Repayment,Hire Purchase,CIMB,Outflow,1613.50,RHB Hire Purchase,Revised amount per credit note,
TXN-00710,2025-03-25,Consulting fee - AutoCAD licence,Revenue,Consulting Fee,CIMB,Inflow,19396.00,Deloitte Malaysia,Recurring monthly,
TXN-00017,2025-03-26,Software licence - Adobe Creative Cloud,CAPEX,Software & Licences,CIMB,Outflow,8500.50,Adobe Systems Malaysia,Partial payment - balance next month,
TXN-00025,2025-03-26,Income tax instalment CP500 - Mar 2025,Tax,Income Tax Instalment,Hong Leong Bank,Outflow,5644.50,Lembaga Hasil Dalam Negeri (LHDN),Recurring monthly,
TXN-00063,2025-03-27,Professional services - colour laser printer,Operating Expenses,Professional Services,Maybank,Outflow,8103.50,Skrine Advocates & Solicitors,One-off purchase,
TXN-00363,2025-03-27,Client payment - invoice SO-4157,Revenue,Client Payment,Maybank,Inflow,73207.00,YTL Corporation Berhad,Partial payment - balance next month,Large Transaction
TXN-00632,2025-03-27,Office supplies purchase,Operating Expenses,Office Supplies,Maybank,Outflow,319.50,Jaya Grocer,Direct debit,
